team,service,model,month,api_calls,tokens_used,cost
Engineering,OpenAI,gpt-4-turbo,2023-07,1535,3435188,103.06
Engineering,OpenAI,gpt-4o,2023-07,1638,5418119,81.27
Engineering,OpenAI,text-embedding-ada-002,2023-07,956,3096221,0.31
Engineering,Anthropic,claude-3-sonnet,2023-07,1554,3889162,58.34
Engineering,Anthropic,claude-3-haiku,2023-07,2292,5136692,15.41
Engineering,Google,gemini-1.5-pro,2023-07,2381,7733967,139.21
Engineering,Google,gemini-1.5-flash,2023-07,2008,4035234,16.14
Engineering,Cohere,command-r-plus,2023-07,1744,5101880,61.22
Engineering,Cohere,embed-v3,2023-07,2577,7596275,0.76
Marketing,OpenAI,gpt-4-turbo,2023-07,570,1682074,50.46
Marketing,OpenAI,gpt-4o,2023-07,682,2161781,32.43
Marketing,OpenAI,text-embedding-ada-002,2023-07,509,1599044,0.16
Marketing,Anthropic,claude-3-sonnet,2023-07,1024,3527155,52.91
Marketing,Anthropic,claude-3-haiku,2023-07,905,2668784,8.01
Marketing,Google,gemini-1.5-pro,2023-07,1259,2711589,48.81
Marketing,Google,gemini-1.5-flash,2023-07,1262,3826167,15.3
Marketing,Cohere,command-r-plus,2023-07,740,1814069,21.77
Marketing,Cohere,embed-v3,2023-07,1124,2361553,0.24
Sales,OpenAI,gpt-4-turbo,2023-07,1049,2642246,79.27
Sales,OpenAI,gpt-4o,2023-07,1072,2217553,33.26
Sales,OpenAI,text-embedding-ada-002,2023-07,1222,4228405,0.42
Sales,Anthropic,claude-3-sonnet,2023-07,1921,6002121,90.03
Sales,Anthropic,claude-3-haiku,2023-07,1167,3661339,10.98
Sales,Google,gemini-1.5-pro,2023-07,1072,2179574,39.23
Sales,Google,gemini-1.5-flash,2023-07,1341,3664905,14.66
Sales,Cohere,command-r-plus,2023-07,1743,5272475,63.27
Sales,Cohere,embed-v3,2023-07,1451,3497548,0.35
Design,OpenAI,gpt-4-turbo,2023-07,346,913188,27.4
Design,OpenAI,gpt-4o,2023-07,258,579322,8.69
Design,OpenAI,text-embedding-ada-002,2023-07,313,951683,0.1
Design,Anthropic,claude-3-sonnet,2023-07,332,705025,10.58
Design,Anthropic,claude-3-haiku,2023-07,443,1320922,3.96
Design,Google,gemini-1.5-pro,2023-07,345,1182071,21.28
Design,Google,gemini-1.5-flash,2023-07,316,836926,3.35
Data,OpenAI,gpt-4-turbo,2023-07,1055,2774218,83.23
Data,OpenAI,gpt-4o,2023-07,902,2341945,35.13
Data,OpenAI,text-embedding-ada-002,2023-07,720,2502695,0.25
Data,Anthropic,claude-3-sonnet,2023-07,1182,3949237,59.24
Data,Anthropic,claude-3-haiku,2023-07,1047,2428680,7.29
Data,Google,gemini-1.5-pro,2023-07,898,2673795,48.13
